CATEGORIA;CÓDIGO ERP;PART NUMBER;FABRICANTE;TIPO DE MEDIÇÃO;DIÂMETRO DE MONTAGEM;POSIÇÃO DE MONTAGEM;CONEXÃO DO INSTRUMENTO;MATERIAL DO INVÓLUCRO;MATERIAL DOS INTERNOS;VISOR;CLASSE DE EXATIDÃO;UNIDADE DE LEITURA;FAIXA DE TRABALHO;ENCHIMENTO DE GLICERINA;CERTIFICADOS;TUBO SIFÃO;SELO DIAFRAGMA;CONTATO ELÉTRICO;VÁLVULA DE ISOLAMENTO;NCM;ESTOQUE;PREÇO;IMAGENS
MANÔMETRO;;120.06224-0025KG/PSI;QUALITEC;RELATIVO;62MM;ANGULAR CONCENTRICO (TRASEIRO);"1/4"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE B;PSI X KGF/CM²;25/350;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.06224-0028KG/PSI;QUALITEC;RELATIVO;62MM;ANGULAR CONCENTRICO (TRASEIRO);"1/4"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE B;PSI X KGF/CM²;28/400;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.06224-0040KG/PSI;QUALITEC;RELATIVO;62MM;ANGULAR CONCENTRICO (TRASEIRO);"1/4"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE B;PSI X KGF/CM²;40/600;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.06224-0062KG/PSI;QUALITEC;RELATIVO;62MM;ANGULAR CONCENTRICO (TRASEIRO);"1/4"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE B;PSI X KGF/CM²;100/1500;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.06224-0070KG/PSI;QUALITEC;RELATIVO;62MM;ANGULAR CONCENTRICO (TRASEIRO);"1/4"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE B;PSI X KGF/CM²;70/1000;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.06224-0140KG/PSI;QUALITEC;RELATIVO;62MM;ANGULAR CONCENTRICO (TRASEIRO);"1/4"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE B;PSI X KGF/CM²;140/2000;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.06224-0200KG/PSI;QUALITEC;RELATIVO;62MM;ANGULAR CONCENTRICO (TRASEIRO);"1/4"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE B;PSI X KGF/CM²;200/3000;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.06224-0300KG/PSI;QUALITEC;RELATIVO;62MM;ANGULAR CONCENTRICO (TRASEIRO);"1/4"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE B;PSI X KGF/CM²;300/4500;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.06224-0400KG/PSI;QUALITEC;RELATIVO;62MM;ANGULAR CONCENTRICO (TRASEIRO);"1/4"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE B;PSI X KGF/CM²;400/6000;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.06224-0600KG/PSI;QUALITEC;RELATIVO;62MM;ANGULAR CONCENTRICO (TRASEIRO);"1/4"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE B;PSI X KGF/CM²;600/8500;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.06224-0620KG/PSI;QUALITEC;RELATIVO;62MM;ANGULAR CONCENTRICO (TRASEIRO);"1/4"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE B;PSI X KGF/CM²;1000/15000;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.06224-0700KG/PSI;QUALITEC;RELATIVO;62MM;ANGULAR CONCENTRICO (TRASEIRO);"1/4"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE B;PSI X KGF/CM²;700/10000;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10016-0001KG/PSI;QUALITEC;RELATIVO;100MM;RETO (INFERIOR);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;01//15;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10016-0002KG/PSI;QUALITEC;RELATIVO;100MM;RETO (INFERIOR);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;2/30;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10016-0003KG/PSI;QUALITEC;RELATIVO;100MM;RETO (INFERIOR);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;3/45;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10016-0004KG/PSI;QUALITEC;RELATIVO;100MM;RETO (INFERIOR);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;4/60;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10016-0006KG/PSI;QUALITEC;RELATIVO;100MM;RETO (INFERIOR);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;6/85;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10016-0007KG/PSI;QUALITEC;RELATIVO;100MM;RETO (INFERIOR);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;7/100;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10016-0010KG/PSI;QUALITEC;RELATIVO;100MM;RETO (INFERIOR);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;10/150;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10016-0014KG/PSI;QUALITEC;RELATIVO;100MM;RETO (INFERIOR);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;14/200;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10016-0016KG/PSI;QUALITEC;RELATIVO;100MM;RETO (INFERIOR);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;16/230;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10016-0020KG/PSI;QUALITEC;RELATIVO;100MM;RETO (INFERIOR);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;20/300;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10016-0025KG/PSI;QUALITEC;RELATIVO;100MM;RETO (INFERIOR);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;25/350;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10016-0028KG/PSI;QUALITEC;RELATIVO;100MM;RETO (INFERIOR);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;28/400;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10016-0040KG/PSI;QUALITEC;RELATIVO;100MM;RETO (INFERIOR);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;40/600;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10016-0070KG/PSI;QUALITEC;RELATIVO;100MM;RETO (INFERIOR);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;70/1000;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10016-0100KG/PSI;QUALITEC;RELATIVO;100MM;RETO (INFERIOR);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;100/1500;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10016-0140KG/PSI;QUALITEC;RELATIVO;100MM;RETO (INFERIOR);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;140/2000;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10016-0200KG/PSI;QUALITEC;RELATIVO;100MM;RETO (INFERIOR);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;200/3000;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10016-0300KG/PSI;QUALITEC;RELATIVO;100MM;RETO (INFERIOR);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;300/4500;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10016-0400KG/PSI;QUALITEC;RELATIVO;100MM;RETO (INFERIOR);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;400/6000;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10016-0600KG/PSI;QUALITEC;RELATIVO;100MM;RETO (INFERIOR);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;600/8500;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10016-0700KG/PSI;QUALITEC;RELATIVO;100MM;RETO (INFERIOR);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;700/10000;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10016-1000KG/PSI;QUALITEC;RELATIVO;100MM;RETO (INFERIOR);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;1000/15000;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10026-0001KG/PSI;QUALITEC;RELATIVO;100MM;ANGULAR CONCENTRICO (TRASEIRO);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;01//15;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10026-0002KG/PSI;QUALITEC;RELATIVO;100MM;ANGULAR CONCENTRICO (TRASEIRO);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;2/30;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10026-0003KG/PSI;QUALITEC;RELATIVO;100MM;ANGULAR CONCENTRICO (TRASEIRO);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;3/45;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10026-0004KG/PSI;QUALITEC;RELATIVO;100MM;ANGULAR CONCENTRICO (TRASEIRO);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;4/60;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10026-0006KG/PSI;QUALITEC;RELATIVO;100MM;ANGULAR CONCENTRICO (TRASEIRO);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;6/85;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10026-0007KG/PSI;QUALITEC;RELATIVO;100MM;ANGULAR CONCENTRICO (TRASEIRO);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;7/100;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10026-0010KG/PSI;QUALITEC;RELATIVO;100MM;ANGULAR CONCENTRICO (TRASEIRO);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;10/150;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10026-0014KG/PSI;QUALITEC;RELATIVO;100MM;ANGULAR CONCENTRICO (TRASEIRO);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;14/200;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10026-0016KG/PSI;QUALITEC;RELATIVO;100MM;ANGULAR CONCENTRICO (TRASEIRO);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;16/230;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10026-0020KG/PSI;QUALITEC;RELATIVO;100MM;ANGULAR CONCENTRICO (TRASEIRO);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;20/300;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10026-0025KG/PSI;QUALITEC;RELATIVO;100MM;ANGULAR CONCENTRICO (TRASEIRO);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;25/350;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10026-0028KG/PSI;QUALITEC;RELATIVO;100MM;ANGULAR CONCENTRICO (TRASEIRO);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;28/400;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10026-0040KG/PSI;QUALITEC;RELATIVO;100MM;ANGULAR CONCENTRICO (TRASEIRO);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;40/600;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10026-0070KG/PSI;QUALITEC;RELATIVO;100MM;ANGULAR CONCENTRICO (TRASEIRO);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;70/1000;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.10026-0100KG/PSI;QUALITEC;RELATIVO;100MM;ANGULAR CONCENTRICO (TRASEIRO);"1/2"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE A;PSI X KGF/CM²;100/1500;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
